panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	link
variable (1042)	Zm00001d044300	340.9550478832687	168.8328532483688	81.59207483525233	38.94105084026372	7.361749492644693	4.22695840239804	0.05127279807879533	0.06271620038445476	0.16959084311788786	0.0744320954188127	0.2199091904163457	0.08434029206088031	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044300.json
variable (1042)	Zm00001d044367	5.891300543049688	4.114986595258917	3.22419497491317	3.0963902735726467	1.065516373935416	3.9605921802575943	0.06708827404479567	0.06065063649222065	0.12145214521452145	0.12083333333333333	0.10643564356435645	0.13392857142857142	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044367.json
variable (1042)	Zm00001d044388	13.880358785159155	18.190776534890144	19.463026850610735	12.122218622184217	11.13948936387026	23.313601198672234	0.03008274385946594	0.04370476225077608	0.22012757463227503	0.15830878859857478	0.07577464788732399	0.0996743471582181	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044388.json
variable (1042)	Zm00001d044391	24.770911857844307	12.917801312101863	23.064577735066646	8.757531783654848	5.133851619870641	5.672809433004153	0.033921174930585274	0.03968504017033646	0.11209372177742605	0.10482352538427311	0.0936750545871067	0.0855470616340182	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044391.json
variable (1042)	Zm00001d044434	38.89464206902975	30.317375146379916	31.313053455172735	27.528740043400443	3.293414246709468	10.268362938673377	0.08816477290512413	0.09634967221480084	0.13821143364177965	0.21935182715390772	0.14968371222283833	0.22252363382311205	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044434.json
variable (1042)	Zm00001d044441	29.513887069806497	17.428554128875195	22.38672502472473	14.327869562171053	11.914410363096016	15.194290867683522	0.0336157641864693	0.0918229344243664	0.25525210084033606	0.15903014098201262	0.09622195985832346	0.09420870852349819	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044441.json
variable (1042)	Zm00001d044515	10.245196767506922	10.178711740978583	15.037120196715001	4.655167658490813	27.509695472514377	2.444540016061929	0.028675398024283774	0.045561880666245023	0.1336113907665756	0.17848410757946206	0.18149824032176975	0.13201320132013197	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044515.json
variable (1042)	Zm00001d044551	26.987206699335957	23.434842504007513	16.01327603508001	8.687969357257032	21.40719260361154	13.868137725070696	0.04215516442074745	0.09031339031339033	0.32518189665803426	0.12637264278809518	0.26538658474142346	0.1079935162362019	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044551.json
variable (1042)	Zm00001d044575	7.858979357438795	9.694739306812506	16.371160233082957	10.447534665945716	11.042624238967038	6.933628885254426	0.06320245489500145	0.039041162699960955	0.2079532570603999	0.19090909090909097	0.22556818181818183	0.14866310160427806	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044575.json
variable (1042)	Zm00001d044600	40.998746302628454	30.868044955042965	30.838092545629024	15.433091719916847	34.58084959044941	33.75174687862128	0.06033827625625922	0.04442735793790275	0.30391791044776123	0.12491069697892726	0.21078385899814472	0.09006714822523382	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044600.json
